IDKlienta,NazwaKlienta,Segment,Region,Opiekun,IDGeografii
K0001,Baltic Solutions Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0002,Pracownia Michał Kaczmarek,B2C,Południe,Tomasz Kowalski,G02
K0003,Vertex Solutions S.A.,VIP,Wschód,Katarzyna Kamińska,G03
K0004,Biuro Paweł Mikołajczyk,Detal,Zachód,Michał Lewandowski,G04
K0005,Proxima Solutions Sp. z o.o.,B2B,Północ,Joanna Zielińska,G01
K0006,Studio Krzysztof Bąk,B2C,Południe,Piotr Szymański,G02
K0007,Vistula Solutions Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0008,Sklep Mateusz Kowalski,Detal,Zachód,Paweł Woźniak,G04
K0009,Nexus Solutions S.A.,B2B,Północ,Agnieszka Jankowska,G01
K0010,Atelier Rafał Witkowski,B2C,Południe,Marcin Kozłowski,G02
K0011,Metrum Solutions Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0012,Pracownia Daniel Grabowski,Detal,Zachód,Krzysztof Mazur,G04
K0013,Sfera Solutions Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0014,Biuro Marek Kubiak,B2C,Południe,Jakub Krawczyk,G02
K0015,Viva Solutions S.A.,VIP,Wschód,Aleksandra Piotrowska,G03
K0016,Studio Andrzej Wróbel,Detal,Zachód,Mateusz Grabowski,G04
K0017,Lumen Solutions Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0018,Sklep Cezary Walczak,B2C,Południe,Adam Michalski,G02
K0019,Vector Solutions Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0020,Atelier Grzegorz Gajewski,Detal,Zachód,Rafał Wieczorek,G04
K0021,Baltic Trade S.A.,B2B,Północ,Anna Wiśniewska,G01
K0022,Pracownia Jerzy Szymański,B2C,Południe,Tomasz Kowalski,G02
K0023,Vertex Trade Sp. z o.o.,VIP,Wschód,Katarzyna Kamińska,G03
K0024,Biuro Konrad Urbański,Detal,Zachód,Michał Lewandowski,G04
K0025,Proxima Trade Sp. z o.o.,B2B,Północ,Joanna Zielińska,G01
K0026,Studio Norbert Michalski,B2C,Południe,Piotr Szymański,G02
K0027,Vistula Trade S.A.,VIP,Wschód,Magdalena Dąbrowska,G03
K0028,Sklep Przemysław Rosiński,Detal,Zachód,Paweł Woźniak,G04
K0029,Nexus Trade Sp. z o.o.,B2B,Północ,Agnieszka Jankowska,G01
K0030,Atelier Waldemar Sikora,B2C,Południe,Marcin Kozłowski,G02
K0031,Metrum Trade Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0032,Pracownia Artur Błaszczyk,Detal,Zachód,Krzysztof Mazur,G04
K0033,Sfera Trade S.A.,B2B,Północ,Monika Pawłowska,G01
